id,symbol,action,expiry,days_to_expiry,strike_price,mid_price,bid_price,ask_price,implied_volatility_rank,earnings_date,earnings_flag,stock_price,raw_return,annualized_return,distance_to_strike,comment,on_date,is_active,is_featured
1,NVDA,Sell to Open,2024-07-19 00:00:00+00:00,42,"$1,440.00",$14.75,$14.50,$15.00,30%,08/21/2024,N,120.89,12.2%,114.19%,1091.19%,comment, ,True,True
6,SMCI,Sell to Open,2024-07-19 00:00:00+00:00,42,"$1,000.00",$13.39,$13.10,$13.70,51%,08/06/2024,N,769.11,1.74%,16.31%,30.02%,comment, ,True,True
10,DELL,Sell to Open,2024-07-19 00:00:00+00:00,42,$150.00,$1.92,$1.80,$2.05,85%,08/29/2024,N,129.97,1.48%,13.86%,15.41%,comment, ,True,True
12,LI,Sell to Open,2024-07-19 00:00:00+00:00,42,$25.00,$0.29,$0.27,$0.31,66%,08/08/2024,N,20.08,1.44%,13.52%,24.5%,comment, ,True,True
13,PLTR,Sell to Open,2024-07-19 00:00:00+00:00,42,$27.00,$0.33,$0.32,$0.35,13%,08/05/2024,N,23.31,1.44%,13.45%,15.83%,comment, ,True,True
21,CRWD,Sell to Open,2024-07-19 00:00:00+00:00,42,$400.00,$4.59,$4.40,$4.80,92%,08/28/2024,N,349.12,1.32%,12.33%,14.57%,comment, ,True,True
10,CCL,Sell to Open,2024-02-02 00:00:00+00:00,42,$22.00,$0.27,$0.27,$0.28,0%,,N,18.93,1.45%,13.6%,16.22%,comment, ,True,True
24,CPNG,Sell to Open,2024-07-19 00:00:00+00:00,42,$24.00,$0.28,$0.26,$0.30,11%,08/06/2024,N,21.84,1.28%,12%,9.89%,comment, ,True,True
25,JD,Sell to Open,2024-07-19 00:00:00+00:00,42,$34.00,$0.37,$0.35,$0.39,100%,08/22/2024,N,29.33,1.26%,11.81%,15.92%,comment, ,True,True
27,MRVL,Sell to Open,2024-07-19 00:00:00+00:00,42,$77.50,$0.84,$0.82,$0.86,93%,08/29/2024,N,67.99,1.24%,11.56%,13.99%,comment, ,True,True
30,TTD,Sell to Open,2024-07-19 00:00:00+00:00,42,$105.00,$1.06,$0.95,$1.17,9%,08/07/2024,N,94.17,1.13%,10.53%,11.5%,comment, ,True,True
38,BIDU,Sell to Open,2024-07-19 00:00:00+00:00,42,$110.00,$0.93,$0.90,$0.96,33%,08/27/2024,N,95.89,0.97%,9.08%,14.71%,comment, ,True,True
41,ADI,Sell to Open,2024-07-19 00:00:00+00:00,42,$250.00,$2.22,$2.15,$2.30,21%,08/21/2024,N,234.77,0.95%,8.87%,6.49%,comment, ,True,True
43,BURL,Sell to Open,2024-07-19 00:00:00+00:00,42,$250.00,$2.17,$2.05,$2.30,73%,08/29/2024,N,229.21,0.95%,8.88%,9.07%,comment, ,True,True
44,CRM,Sell to Open,2024-07-19 00:00:00+00:00,42,$260.00,$2.24,$2.03,$2.45,21%,08/28/2024,N,241.85,0.93%,8.67%,7.5%,comment, ,True,True
49,UBER,Sell to Open,2024-07-19 00:00:00+00:00,42,$77.50,$0.62,$0.59,$0.66,14%,08/06/2024,N,69.31,0.9%,8.44%,11.82%,comment, ,True,True
50,HPQ,Sell to Open,2024-07-19 00:00:00+00:00,42,$39.00,$0.32,$0.28,$0.36,12%,08/27/2024,N,36.45,0.88%,8.22%,7%,comment, ,True,True
51,PDD,Sell to Open,2024-07-19 00:00:00+00:00,42,$165.00,$1.24,$1.20,$1.29,63%,08/29/2024,N,143.9,0.87%,8.1%,14.66%,comment, ,True,True
53,WYNN,Sell to Open,2024-07-19 00:00:00+00:00,42,$100.00,$0.80,$0.75,$0.86,9%,08/07/2024,N,93.14,0.86%,8.09%,7.37%,comment, ,True,True
56,DVN,Sell to Open,2024-07-19 00:00:00+00:00,42,$50.00,$0.38,$0.37,$0.40,8%,08/06/2024,N,46.79,0.82%,7.7%,6.86%,comment, ,True,True
59,LULU,Sell to Open,2024-07-19 00:00:00+00:00,42,$350.00,$2.54,$2.35,$2.73,79%,08/29/2024,N,317.86,0.8%,7.48%,10.11%,comment, ,True,True
63,BABA,Sell to Open,2024-07-19 00:00:00+00:00,42,$90.00,$0.60,$0.57,$0.63,28%,08/08/2024,N,78.41,0.77%,7.16%,14.78%,comment, ,True,True
66,CVS,Sell to Open,2024-07-19 00:00:00+00:00,42,$67.50,$0.46,$0.44,$0.49,29%,08/07/2024,N,61.78,0.75%,7.04%,9.26%,comment, ,True,True
69,DG,Sell to Open,2024-07-19 00:00:00+00:00,42,$140.00,$0.91,$0.88,$0.95,91%,08/29/2024,N,126.61,0.72%,6.76%,10.58%,comment, ,True,True
71,ZM,Sell to Open,2024-07-19 00:00:00+00:00,42,$70.00,$0.43,$0.38,$0.48,4%,08/19/2024,N,62.84,0.68%,6.4%,11.39%,comment, ,True,True
85,ABNB,Sell to Open,2024-07-19 00:00:00+00:00,42,$165.00,$0.89,$0.77,$1.01,10%,08/06/2024,N,146.66,0.61%,5.68%,12.51%,comment, ,True,True
89,DIS,Sell to Open,2024-07-19 00:00:00+00:00,42,$110.00,$0.55,$0.53,$0.57,14%,08/07/2024,N,101.54,0.54%,5.07%,8.33%,comment, ,True,True
99,TTWO,Sell to Open,2024-07-19 00:00:00+00:00,42,$180.00,$0.56,$0.44,$0.70,2%,08/06/2024,N,164.77,0.35%,3.24%,9.24%,comment, ,True,True
108,MRO,Sell to Open,2024-07-19 00:00:00+00:00,42,$32.00,$0.06,$0.02,$0.11,10%,08/07/2024,N,27.87,0.23%,2.18%,14.82%,comment, ,True,True
84,NKE,Sell to Open,2024-02-02 00:00:00+00:00,42,$117.00,$0.67,$0.61,$0.73,53%,,N,108.04,0.62%,5.8%,8.29%,comment, ,True,True
62,CSCO,Sell to Open,2024-08-02 00:00:00+00:00,44,$48.00,$0.44,$0.32,$0.56,18%,08/14/2024,N,45.97,0.96%,8.12%,4.42%,comment, ,True,True
19,AVGO,Sell to Open,2024-08-02 00:00:00+00:00,44,"$2,200.00",$25.75,$22.90,$28.60,57%,08/29/2024,N,1802.52,1.43%,12.13%,22.05%,comment, ,True,True
91,ADBE,Sell to Open,2024-08-02 00:00:00+00:00,44,$575.00,$3.50,$1.70,$5.30,78%,09/12/2024,N,522.25,0.67%,5.69%,10.1%,comment, ,True,True
