Covered Calls - OptionsPlay,,,,,,,,,,,,,,
Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
XYZ,Sell to Open,12/19/2025,46,95.00  $,1.28  $,1.22  $,1.34  $,59%,11/06/2025,Y,23.21  $,6%,44%,309%
IONQ,Sell to Open,12/19/2025,46,100.00  $,1.75  $,1.65  $,1.85  $,47%,11/05/2025,Y,58.05  $,3%,24%,72%
SOUN,Sell to Open,12/19/2025,46,30.00  $,0.47  $,0.35  $,0.60  $,40%,11/06/2025,Y,17.28  $,3%,22%,74%
CVX,Sell to Open,12/19/2025,46,170.00  $,0.63  $,0.59  $,0.69  $,17%,01/30/2026,N,26.18  $,2%,19.4%,549%
CORZ,Sell to Open,12/19/2025,46,33.00  $,0.55  $,0.30  $,0.80  $,22%,02/18/2026,N,22.64  $,2%,19%,46%
DVN,Sell to Open,12/19/2025,46,35.00  $,0.79  $,0.73  $,0.85  $,22%,11/05/2025,Y,32.62  $,2%,19%,7%
CRWV,Sell to Open,12/19/2025,46,195.00  $,2.82  $,2.59  $,3.05  $,31%,11/10/2025,Y,127.33  $,2%,18%,53%
AFRM,Sell to Open,12/19/2025,46,100.00  $,1.55  $,1.48  $,1.63  $,50%,11/06/2025,Y,72.45  $,2%,17%,38%
SMCI,Sell to Open,12/19/2025,46,75.00  $,1.10  $,1.09  $,1.13  $,18%,11/04/2025,Y,52.00  $,2%,17%,44%
HOOD,Sell to Open,12/19/2025,46,195.00  $,3.09  $,2.99  $,3.20  $,29%,11/05/2025,Y,146.82  $,2%,17%,33%
TTD,Sell to Open,12/19/2025,46,70.00  $,1.02  $,1.00  $,1.05  $,87%,11/06/2025,Y,48.77  $,2.1%,17%,44%
SQQQ,Sell to Open,12/19/2025,46,19.00  $,0.27  $,0.25  $,0.29  $,14%,,N,12.93  $,2%,17%,47%
ANET,Sell to Open,12/19/2025,46,200.00  $,3.15  $,3.00  $,3.30  $,68%,11/04/2025,Y,157.05  $,2%,16%,27%
