Short Puts - OptionsPlay,,,,,,,,,,,,,,
Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
SOUN,Sell to Open,11/28/2025,28,17.00  $,1.94  $,1.88  $,1.99  $,44%,11/06/2025,Y,17.62  $,11%,154%,-4%
IONQ,Sell to Open,11/28/2025,28,61.00  $,6.62  $,6.30  $,6.95  $,47%,11/05/2025,Y,62.38  $,11%,149%,-2%
CRWV,Sell to Open,11/28/2025,28,130.00  $,12.30  $,12.00  $,12.60  $,28%,11/10/2025,Y,133.71  $,9.2%,129%,-3%
TTD,Sell to Open,11/28/2025,28,49.00  $,4.47  $,4.30  $,4.65  $,88%,11/06/2025,Y,50.28  $,8.9%,125%,-3%
CORZ,Sell to Open,11/28/2025,28,21.00  $,1.64  $,1.58  $,1.70  $,32%,02/18/2026,N,21.54  $,8%,107%,-3%
APP,Sell to Open,11/28/2025,28,620.00  $,48.25  $,46.30  $,50.20  $,38%,11/05/2025,Y,637.33  $,8%,106%,-3%
AFRM,Sell to Open,11/28/2025,28,70.00  $,5.25  $,4.10  $,6.40  $,46%,11/06/2025,Y,71.88  $,7.3%,103%,-3%
SMCI,Sell to Open,11/28/2025,28,50.00  $,3.65  $,3.55  $,3.75  $,19%,11/04/2025,Y,51.96  $,7%,99%,-4%
HOOD,Sell to Open,11/28/2025,28,143.00  $,9.70  $,9.40  $,10.00  $,28%,11/05/2025,Y,146.78  $,7%,93%,-3%
XYZ,Sell to Open,11/28/2025,28,74.00  $,4.58  $,4.45  $,4.70  $,58%,11/06/2025,Y,75.94  $,6%,85%,-3%
AMD,Sell to Open,11/28/2025,28,250.00  $,15.23  $,15.05  $,15.40  $,58%,11/04/2025,Y,256.12  $,6%,83%,-2%
MU,Sell to Open,11/28/2025,28,220.00  $,13.18  $,12.80  $,13.55  $,49%,12/17/2025,N,223.77  $,6%,83%,-2%
PLTR,Sell to Open,11/28/2025,28,195.00  $,11.77  $,11.60  $,11.95  $,38%,11/03/2025,Y,200.47  $,6%,82%,-3%
VST,Sell to Open,11/28/2025,28,185.00  $,11.02  $,10.65  $,11.40  $,32%,11/06/2025,Y,188.30  $,6%,82.2%,-2%
WDC,Sell to Open,11/28/2025,28,146.00  $,8.70  $,7.60  $,9.80  $,75%,,N,150.21  $,6%,81%,-2.8%
ARM,Sell to Open,11/28/2025,28,165.00  $,9.75  $,9.20  $,10.30  $,55%,,N,169.82  $,6%,80.6%,-3%
MRVL,Sell to Open,11/28/2025,28,91.00  $,5.38  $,3.80  $,6.95  $,37%,12/04/2025,N,93.74  $,6%,80.5%,-3%
SQQQ,Sell to Open,11/28/2025,28,13.00  $,0.75  $,0.71  $,0.79  $,15%,,N,13.16  $,5.7%,80%,-1%
ANET,Sell to Open,11/28/2025,28,152.50  $,8.85  $,8.50  $,9.20  $,68%,11/04/2025,Y,157.69  $,6%,79%,-3%
CVNA,Sell to Open,11/28/2025,28,300.00  $,17.10  $,16.30  $,17.90  $,25%,02/25/2026,N,306.54  $,6%,78%,-2%
SOFI,Sell to Open,11/28/2025,28,29.00  $,1.65  $,1.61  $,1.69  $,25%,01/26/2026,N,29.68  $,6%,78%,-2%
COIN,Sell to Open,11/28/2025,28,335.00  $,17.88  $,17.10  $,18.65  $,35%,,N,343.78  $,5.2%,73%,-3%
PAAS,Sell to Open,11/28/2025,28,34.00  $,1.83  $,1.45  $,2.20  $,52%,11/12/2025,Y,35.21  $,5%,73%,-3%
DELL,Sell to Open,11/28/2025,28,157.50  $,8.07  $,7.65  $,8.50  $,47%,11/25/2025,Y,162.01  $,5%,70%,-3%
SE,Sell to Open,11/28/2025,28,150.00  $,7.72  $,7.40  $,8.05  $,67%,,N,156.25  $,5%,69%,-4%
MSTR,Sell to Open,11/28/2025,28,260.00  $,13.18  $,12.80  $,13.55  $,15%,,N,269.51  $,5%,69%,-4%
BIDU,Sell to Open,11/28/2025,28,118.00  $,5.90  $,4.55  $,7.25  $,75%,,N,120.87  $,5%,69%,-2%
DOW,Sell to Open,11/28/2025,28,23.50  $,1.14  $,1.11  $,1.18  $,49%,01/29/2026,N,23.85  $,4.8%,67.4%,-1%
INTC,Sell to Open,11/28/2025,28,39.00  $,1.90  $,1.83  $,1.96  $,34%,01/29/2026,N,39.99  $,5%,67%,-2%
CNC,Sell to Open,11/28/2025,28,35.00  $,1.68  $,1.60  $,1.75  $,34%,02/03/2026,N,35.37  $,5%,66%,-1%
CEG,Sell to Open,11/28/2025,28,365.00  $,17.85  $,16.30  $,19.40  $,39%,11/07/2025,Y,377.00  $,5%,66%,-3%
NVO,Sell to Open,11/28/2025,28,48.00  $,2.30  $,2.25  $,2.35  $,76%,,N,49.46  $,5%,65%,-3%
TGT,Sell to Open,11/28/2025,28,90.00  $,4.25  $,4.15  $,4.35  $,70%,11/19/2025,Y,92.72  $,5%,64%,-3%
SPOT,Sell to Open,11/28/2025,28,640.00  $,29.92  $,27.50  $,32.35  $,49%,11/04/2025,Y,655.32  $,5%,64%,-2%
TSLA,Sell to Open,11/28/2025,28,445.00  $,20.80  $,20.70  $,20.90  $,17%,01/28/2026,N,456.56  $,5%,64%,-3%
AMAT,Sell to Open,11/28/2025,28,230.00  $,10.60  $,10.30  $,10.90  $,56%,11/13/2025,Y,233.10  $,5%,64%,-1%
NVDA,Sell to Open,11/28/2025,28,200.00  $,9.02  $,8.90  $,9.15  $,35%,11/19/2025,Y,202.49  $,4%,63%,-1%
B,Sell to Open,11/28/2025,28,32.00  $,1.42  $,1.37  $,1.47  $,90%,11/10/2025,Y,32.80  $,4%,61%,-2%
ETSY,Sell to Open,11/28/2025,28,61.00  $,2.60  $,2.52  $,2.69  $,26%,02/18/2026,N,62.00  $,4.2%,59%,-2%
WPM,Sell to Open,11/28/2025,28,95.00  $,4.05  $,3.40  $,4.70  $,76%,11/06/2025,Y,96.52  $,4.2%,59%,-2%
ETSY,Sell to Open,11/28/2025,28,61.00  $,2.60  $,2.52  $,2.69  $,26%,02/18/2026,N,62.00  $,4.2%,59%,-2%
ABNB,Sell to Open,11/28/2025,28,124.00  $,5.20  $,5.00  $,5.40  $,54%,11/06/2025,Y,126.54  $,4%,58%,-2%
KGC,Sell to Open,11/28/2025,28,22.50  $,0.94  $,0.73  $,1.15  $,76%,11/04/2025,Y,23.24  $,4%,57%,-3%
ZM,Sell to Open,11/28/2025,28,85.00  $,3.47  $,2.65  $,4.30  $,45%,11/24/2025,Y,87.23  $,4%,56%,-3%
CF,Sell to Open,11/28/2025,28,82.00  $,3.30  $,3.00  $,3.60  $,44%,11/05/2025,Y,83.29  $,4%,56%,-2%
BABA,Sell to Open,11/28/2025,28,165.00  $,6.70  $,6.50  $,6.90  $,53%,,N,170.43  $,4%,55%,-3%
JD,Sell to Open,11/28/2025,28,32.00  $,1.30  $,1.26  $,1.34  $,49%,,N,33.04  $,4%,55%,-3%
FICO,Sell to Open,11/21/2025,21,"1,620.00  $",64.85  $,60.00  $,69.70  $,54%,11/05/2025,Y,"1,659.53  $",4%,75%,-2%
FCX,Sell to Open,11/28/2025,28,41.00  $,1.62  $,1.56  $,1.67  $,24%,01/22/2026,N,41.70  $,4%,54%,-2%
LRCX,Sell to Open,11/28/2025,28,152.50  $,6.05  $,5.85  $,6.25  $,38%,01/28/2026,N,157.46  $,4%,54%,-3%
KKR,Sell to Open,11/28/2025,28,116.00  $,4.50  $,4.20  $,4.80  $,25%,11/07/2025,Y,118.33  $,3.8%,53%,-2%
GDXJ,Sell to Open,11/28/2025,28,92.00  $,3.48  $,2.80  $,4.15  $,58%,,N,93.67  $,4%,52%,-2%
CRWD,Sell to Open,11/28/2025,28,530.00  $,20.05  $,16.90  $,23.20  $,29%,11/25/2025,Y,543.01  $,4%,52%,-2.4%
TTWO,Sell to Open,11/28/2025,28,250.00  $,9.35  $,8.90  $,9.80  $,92%,11/06/2025,Y,256.37  $,4%,51.2%,-2%
IBIT,Sell to Open,11/28/2025,28,61.00  $,2.24  $,2.21  $,2.26  $,44%,,N,62.30  $,4%,50%,-2%
AVGO,Sell to Open,11/28/2025,28,360.00  $,13.18  $,12.55  $,13.80  $,30%,12/11/2025,N,369.63  $,4%,50%,-3%
NEM,Sell to Open,11/28/2025,28,79.00  $,2.88  $,2.76  $,2.99  $,55%,02/19/2026,N,80.97  $,4%,50%,-2%
HPE,Sell to Open,11/28/2025,28,24.00  $,0.86  $,0.81  $,0.91  $,30%,12/04/2025,N,24.42  $,4%,49%,-2%
EQT,Sell to Open,11/28/2025,28,53.00  $,1.88  $,1.84  $,1.92  $,21%,02/17/2026,N,53.58  $,4%,49%,-1%
GDX,Sell to Open,11/28/2025,28,71.00  $,2.52  $,2.28  $,2.77  $,45%,,N,72.06  $,3.5%,49%,-1%
BP,Sell to Open,11/28/2025,28,35.00  $,1.23  $,1.10  $,1.35  $,27%,,N,35.13  $,3%,49%,0%
