date,time,ticker,symbol,type,size,premium,volume,next_earnings_date,issue_type,sector,avg30_volume,ext_hour_sold_codes,marketcap,nbbo_ask_quantity,nbbo_bid_quantity,price,sale_cond_codes,trade_code,trade_settlement
11/3/2025,1:25:42 PM,UBER,UBER,off_lit,1500,149655.15,26956845,11/4/2025,Common Stock,Technology,13868367.55,extended_hours_trade,2.01243E+11,200,100,99.7701,,,regular
11/3/2025,1:25:42 PM,SHV,SHV,off_lit,2000,220280,4014988,,ETF,,2295510.545,extended_hours_trade,20668820580,56376,170,110.14,,,regular
11/3/2025,1:25:40 PM,IREN,IREN,off_lit,2100,143864.91,79836011,11/6/2025,Common Stock,Financial Services,42601834.32,extended_hours_trade,16522815011,85,65,68.5071,,,regular
11/3/2025,1:25:38 PM,META,,,277,176726,32175219,,Common Stock,Communication Services,17789491.09,extended_hours_trade,,8,14,638,,,regular
11/3/2025,1:25:38 PM,META,,,277,176725.9723,32174942,,Common Stock,Communication Services,17789491.09,extended_hours_trade,,8,14,637.9999,,,regular
11/3/2025,1:25:36 PM,AMD,,,400,104020,35927786,,Common Stock,Technology,78174196.86,extended_hours_trade,,20,49,260.05,,,regular
11/3/2025,1:25:34 PM,VTI,,,335,112493,3340732,,ETF,,4775725.909,extended_hours_trade,,25,2,335.8,prior_reference_price,,regular
11/3/2025,1:25:32 PM,HIMS,,,3600,165744,35211953,,Common Stock,Consumer Defensive,28448652.41,extended_hours_trade,,100,100,46.04,,,regular
11/3/2025,1:25:32 PM,TSLA,,,1650,771160.5,83983074,,Common Stock,Consumer Cyclical,87907844.5,extended_hours_trade,,2,10,467.37,,,regular
11/3/2025,1:25:30 PM,PLTR,,,500,104005.6,69709753,,Common Stock,Technology,47381456.91,extended_hours_trade,,10,158,208.0112,,,regular
11/3/2025,1:25:29 PM,CLX,,,900,101270.07,3388200,,Common Stock,Consumer Defensive,1574062.773,extended_hours_trade,,114,100,112.5223,,,regular
11/3/2025,1:25:29 PM,CLX,,,900,101250,3387300,,Common Stock,Consumer Defensive,1574062.773,extended_hours_trade,,114,100,112.5,,,regular
11/3/2025,1:25:28 PM,PLTR,,,600,124806,69708867,,Common Stock,Technology,47381456.91,extended_hours_trade,,10,150,208.01,,,regular
11/3/2025,1:25:28 PM,PLTR,,,800,166661.84,69708162,,Common Stock,Technology,47381456.91,extended_hours_trade,,10,400,208.3273,,,regular
11/3/2025,1:25:28 PM,META,,,300,191389.23,32173575,,Common Stock,Communication Services,17789491.09,extended_hours_trade,,581,78,637.9641,,,regular
11/3/2025,1:25:26 PM,TSLA,,,486,227132.1,83980627,,Common Stock,Consumer Cyclical,87907844.5,extended_hours_trade,,12,30,467.35,,,regular
11/3/2025,1:25:26 PM,PLTR,,,1296,269568,69706924,,Common Stock,Technology,47381456.91,extended_hours_trade,,6,400,208,,,regular
