date,time,ticker,symbol,type,size,premium,volume,next_earnings_date,issue_type,sector,avg30_volume,ext_hour_sold_codes,marketcap,nbbo_ask_quantity,nbbo_bid_quantity,price,sale_cond_codes,trade_code,trade_settlement
11/3/2025,1:23:33 PM,TLT,TLT,lit,1400,125734,40537175,,ETF,,31504977.818181818182,extended_hours_trade,49661907561,250,50,89.81,,,regular
11/3/2025,1:23:24 PM,NVDA,NVDA,lit,1800,372960,177454906,11/19/2025,Common Stock,Technology,175326014.59090909,extended_hours_trade,4.92051E+12,20,1809,207.2,,intermarket_sweep,regular
11/3/2025,1:23:24 PM,COIN,COIN,lit,920,301760,9210736,2/12/2026,Common Stock,Technology,9812832.5,extended_hours_trade,78437692905,80,277,328,,,regular
11/3/2025,1:23:24 PM,NVDA,NVDA,lit,1695,351204,177452016,11/19/2025,Common Stock,Technology,175326014.59090909,extended_hours_trade,4.92051E+12,20,1809,207.2,,intermarket_sweep,regular
11/3/2025,1:23:15 PM,SRPT,SRPT,lit,9623,189091.94999999998,9493267,11/3/2025,Common Stock,Healthcare,5221693.5,extended_hours_trade,2346099646,300,100,19.65,,,regular
11/3/2025,1:23:09 PM,TLT,TLT,lit,1400,125747.99999999999,40532936,,ETF,,31504977.818181818182,extended_hours_trade,49661907561,1000,50,89.82,,,regular
11/3/2025,1:23:07 PM,PLTR,PLTR,lit,500,104450,69391252,11/3/2025,Common Stock,Technology,47381456.909090909091,extended_hours_trade,4.55921E+11,25,33,208.9,,intermarket_sweep,regular
11/3/2025,1:23:07 PM,PLTR,PLTR,lit,552,115423.2,69387160,11/3/2025,Common Stock,Technology,47381456.909090909091,extended_hours_trade,4.55921E+11,25,33,209.1,,intermarket_sweep,regular
11/3/2025,1:22:55 PM,PLTR,PLTR,lit,700,146201.30000000002,69348631,11/3/2025,Common Stock,Technology,47381456.909090909091,extended_hours_trade,4.55921E+11,1,30,208.859,,,regular
11/3/2025,1:22:49 PM,TLT,TLT,lit,1400,125734,40528636,,ETF,,31504977.818181818182,extended_hours_trade,49661907561,250,2770,89.81,,intermarket_sweep,regular
